season,tourney_id,tourney_name,tourney_level,tourney_date,surface,draw_size,matches,best_of_values,completed,incomplete,deciding_sets,deciding_tiebreak_at_6_all,deciding_tiebreak_at_12_all,deciding_extended_past_7_games,deciding_decided_on_games,longest_deciding_set_games,deciding_tiebreak_loser_points,inferred_final_set_rule,inference_basis
2007,2007-D001,Fed Cup WG R1: USA vs BEL,D,20070421,Hard,4,4,3:4,4,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D002,Fed Cup WG R1: RUS vs ESP,D,20070421,Clay,4,4,3:4,4,0,2,0,0,0,2,6,,not_observable_no_deciding_set_reached_6_all,"2 deciding set(s), none reached 6-6"
2007,2007-D003,Fed Cup WG R1: FRA vs JPN,D,20070421,Clay,4,4,3:4,4,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D004,Fed Cup WG R1: ITA vs CHN,D,20070421,Clay,4,4,3:3|5:1,3,1,2,0,0,0,2,6,,not_observable_no_deciding_set_reached_6_all,"2 deciding set(s), none reached 6-6"
2007,2007-D005,Fed Cup WG SF: USA vs RUS,D,20070714,Hard,4,4,3:4,4,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D006,Fed Cup WG SF: ITA vs FRA,D,20070714,Clay,4,4,3:4,4,0,3,0,0,0,3,7,,not_observable_no_deciding_set_reached_6_all,"3 deciding set(s), none reached 6-6"
2007,2007-D007,Fed Cup WG F: RUS vs ITA,D,20070915,Hard,4,4,3:4,4,0,2,0,0,0,2,7,,not_observable_no_deciding_set_reached_6_all,"2 deciding set(s), none reached 6-6"
2007,2007-D008,Fed Cup WG PO: AUT vs ISR,D,20070714,Clay,4,4,3:4,4,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D009,Fed Cup WG PO: BEL vs CHN,D,20070714,Clay,4,4,3:4,4,0,1,0,0,1,0,8,,deciding_set_extends_past_6_all_cap_unknown,1 deciding set(s) went past 7 games (longest 8); that rules out a tiebreak at 6-all but does not separate an advantage set from a tiebreak at a later game count
2007,2007-D010,Fed Cup WG PO: JPN vs GER,D,20070714,Carpet,4,4,3:4,4,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
