td_location_norm,mirror_tourney_name_norm,td_location_values,td_tournament_values,mirror_tourney_name_values,seasons,season_min,season_max,editions,alias_required,name_evidence,min_pair_overlap_td_in_mirror,min_pair_overlap_mirror_in_td
abu dhabi,abu dhabi,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,Abu Dhabi,2021|2023|2024,2021,2024,3,False,exact_normalized_location,1.0,1.0
acapulco,acapulco,Acapulco,Abierto Mexicano,Acapulco,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007,2020,14,False,exact_normalized_location,1.0,1.0
adelaide,adelaide,Adelaide,Adelaide International,Adelaide,2020|2021|2024,2020,2024,3,False,exact_normalized_location,0.965517,0.965517
adelaide,adelaide 1,Adelaide,Adelaide International 1,Adelaide 1,2023,2023,2023,1,True,core_location,1.0,1.0
adelaide,adelaide 2,Adelaide,Adelaide International 2,Adelaide 2,2023,2023,2023,1,True,core_location,1.0,1.0
amelia island,amelia island,Amelia Island,Bausch & Lomb Championships,Amelia Island,2007|2008,2007,2008,2,False,exact_normalized_location,1.0,1.0
antwerp,antwerp,Antwerp,BNP Paribas Fortis Diamond Games|Proximus Diamond Games,Antwerp,2007|2008|2015,2007,2015,3,False,exact_normalized_location,1.0,1.0
auckland,auckland,Auckland,ASB Classic,Auckland,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2023|2024,2007,2024,16,False,exact_normalized_location,0.967742,1.0
austin,austin,Austin,ATX Open,Austin,2023|2024,2023,2024,2,False,exact_normalized_location,1.0,1.0
bad gastein,bad gastein,Bad Gastein,Gastein Ladies,Bad Gastein,2007|2008|2009|2010|2011|2012|2013|2014|2015,2007,2015,9,False,exact_normalized_location,1.0,1.0
bad homburg,bad homburg,Bad Homburg,Bad Homburg Open,Bad Homburg,2021|2022|2023|2024,2021,2024,4,False,exact_normalized_location,0.967742,0.967742
baku,baku,Baku,Baku Cup,Baku,2011|2012|2013|2014|2015,2011,2015,5,False,exact_normalized_location,1.0,1.0
bali,bali,Bali,Commonwealth Bank Tennis Classic,Bali,2007|2008,2007,2008,2,False,exact_normalized_location,1.0,1.0
bali,tournament of champions,Bali,Commonwealth Bank Tournament of Champions,Tournament of Champions,2009,2009,2009,1,True,token_subset,1.0,1.0
bangalore,bangalore,Bangalore,Canara Bank Bangalore Open|Sony Ericsson International,Bangalore,2007|2008,2007,2008,2,False,exact_normalized_location,1.0,1.0
bangkok,bangkok,Bangkok,PTT Bangkok Open,Bangkok,2007,2007,2007,1,False,exact_normalized_location,1.0,1.0
barcelona,barcelona,Barcelona,Barcelona KIA|Barcelona Ladies Open,Barcelona,2007|2008|2009|2010|2011|2012,2007,2012,6,False,exact_normalized_location,0.935484,0.935484
bastad,bastad,Bastad,Collector Swedish Open|Ericsson Open|Sony Swedish Open,Bastad,2009|2010|2011|2012|2013|2014|2015|2016|2017,2009,2017,9,False,exact_normalized_location,1.0,1.0
beijing,beijing,Beijing,China Open,Beijing,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2023|2024,2007,2024,15,False,exact_normalized_location,1.0,1.0
belgrade,belgrade,Belgrade,Serbia Ladies Open,Belgrade,2021,2021,2021,1,False,exact_normalized_location,1.0,1.0
