season,td_location,td_tournament,tourney_id,tourney_name,surface_td,surface_mirror,date_gap_days,td_rows,mirror_rows,pair_overlap_td_in_mirror,pair_overlap_mirror_in_td,method,status,td_event_number,td_tier,td_court,td_date_min,td_date_max,td_missing_date_rows,td_rows_in_date_window,date_window_share,mirror_tourney_date,mirror_draw_size,mirror_level,name_evidence,surface_agreement,draw_compatible,round_alignment,pair_overlap_td_in_mirror_unordered,pair_overlap_mirror_in_td_unordered,pair_overlap_td_in_mirror_strict,pair_overlap_mirror_in_td_strict,depends_on_surname_link,best_candidate_tourney_id,best_candidate_tourney_name,best_candidate_overlap_td_in_mirror,best_candidate_overlap_mirror_in_td,runner_up_tourney_id,runner_up_tourney_name,runner_up_overlap_td_in_mirror,runner_up_overlap_mirror_in_td,td_keys,mirror_keys
2007,'s-Hertogenbosch,Ordina Open,2007-W-T3-NED-01A-2007,'s-Hertogenbosch,Grass,Grass,-1,29,29,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,33,Tier 3,Outdoor,2007-06-17,2007-06-23,0,29,1.0,2007-06-18,30,T3,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,0.862069,0.862069,True,2007-W-T3-NED-01A-2007,'s-Hertogenbosch,1.0,1.0,2007-W-T2-AUT-01A-2007,Linz,0.034483,0.037037,29,29
2007,Acapulco,Abierto Mexicano,2007-W-T3-MEX-01A-2007,Acapulco,Clay,Clay,0,31,31,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,14,Tier 3,Outdoor,2007-02-26,2007-03-04,0,31,1.0,2007-02-26,32,T3,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,0.903226,0.903226,False,2007-W-T3-MEX-01A-2007,Acapulco,1.0,1.0,2007-D001,Fed Cup WG R1: USA vs BEL,0.0,0.0,31,31
2007,Amelia Island,Bausch & Lomb Championships,2007-W-T2-USA-01A-2007,Amelia Island,Clay,Clay,0,55,55,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,18,Tier 2,Outdoor,2007-04-02,2007-04-08,0,55,1.0,2007-04-02,56,T2,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,0.981818,0.981818,False,2007-W-T2-USA-01A-2007,Amelia Island,1.0,1.0,2007-W-T1-USA-03A-2007,Charleston,0.036364,0.036364,55,55
2007,Antwerp,Proximus Diamond Games,2007-W-T2-BEL-01A-2007,Antwerp,Hard,Hard,0,27,27,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,9,Tier 2,Indoor,2007-02-12,2007-02-18,0,27,1.0,2007-02-12,28,T2,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,0.925926,0.925926,False,2007-W-T2-BEL-01A-2007,Antwerp,1.0,1.0,2007-W-T3-NED-01A-2007,'s-Hertogenbosch,0.037037,0.034483,27,27
2007,Auckland,ASB Classic,2007-W-T4-NZL-01A-2007,Auckland,Hard,Hard,0,31,31,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,1,Tier 4,Outdoor,2007-01-01,2007-01-06,0,31,1.0,2007-01-01,32,T4,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,1.0,1.0,False,2007-W-T4-NZL-01A-2007,Auckland,1.0,1.0,2007-W-T2-BEL-01A-2007,Antwerp,0.032258,0.037037,31,31
2007,Bad Gastein,Gastein Ladies,2007-W-T3-AUT-01A-2007,Bad Gastein,Clay,Clay,0,31,31,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,37,Tier 3,Outdoor,2007-07-23,2007-07-29,0,31,1.0,2007-07-23,32,T3,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,0.903226,0.903226,False,2007-W-T3-AUT-01A-2007,Bad Gastein,1.0,1.0,2007-W-T2-CHN-01A-2007,Beijing,0.032258,0.037037,31,31
2007,Bali,Commonwealth Bank Tennis Classic,2007-W-T3-INA-01A-2007,Bali,Hard,Hard,0,29,29,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,46,Tier 3,Outdoor,2007-09-10,2007-09-16,0,29,1.0,2007-09-10,30,T3,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,1.0,1.0,False,2007-W-T3-INA-01A-2007,Bali,1.0,1.0,2007-D001,Fed Cup WG R1: USA vs BEL,0.0,0.0,29,29
2007,Bangalore,Sony Ericsson International,2007-W-T3-IND-01A-2007,Bangalore,Hard,Hard,1,31,31,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,10,Tier 3,Outdoor,2007-02-13,2007-02-18,0,31,1.0,2007-02-12,32,T3,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,1.0,1.0,False,2007-W-T3-IND-01A-2007,Bangalore,1.0,1.0,2007-W-T4-THA-01A-2007,Pattaya,0.032258,0.032258,31,31
2007,Bangkok,PTT Bangkok Open,2007-W-T3-THA-01A-2007,Bangkok,Hard,Hard,0,31,31,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,56,Tier 3,Outdoor,2007-10-08,2007-10-14,0,31,1.0,2007-10-08,32,T3,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,0.83871,0.83871,True,2007-W-T3-THA-01A-2007,Bangkok,1.0,1.0,2007-W-T3-JPN-01A-2007,Japan Open,0.064516,0.064516,31,31
2007,Barcelona,Barcelona KIA,2007-W-T4-ESP-01A-2007,Barcelona,Clay,Clay,0,31,31,1.0,1.0,pair_overlap_verified+exact_normalized_location+date_window+surface_agreement+draw_compatible+absolute_round_label,accepted,30,Tier 4,Outdoor,2007-06-11,2007-06-16,0,31,1.0,2007-06-11,32,T4,exact_normalized_location,True,True,absolute_round_label,1.0,1.0,0.935484,0.935484,False,2007-W-T4-ESP-01A-2007,Barcelona,1.0,1.0,2007-W-T3-NED-01A-2007,'s-Hertogenbosch,0.032258,0.034483,31,31
