B365_decimal_a,B365_decimal_b,B365_valid,PS_decimal_a,PS_decimal_b,PS_valid,a_1stIn,a_1stWon,a_2ndWon,a_SvGms,a_ace,a_age_years,a_bpFaced,a_bpSaved,a_df,a_entity_id,a_entry,a_hand,a_height_cm,a_identity_correction,a_identity_metadata_status,a_ioc,a_rank,a_rank_points,a_seed,a_source_id,a_source_name,a_source_side,a_svpt,a_won,abandoned,additional_count_evidence,archive_date_basis,b_1stIn,b_1stWon,b_2ndWon,b_SvGms,b_ace,b_age_years,b_bpFaced,b_bpSaved,b_df,b_entity_id,b_entry,b_hand,b_height_cm,b_identity_correction,b_identity_metadata_status,b_ioc,b_rank,b_rank_points,b_seed,b_source_id,b_source_name,b_source_side,b_svpt,best_of,competition_type,completed,count_block_status,count_correction_applied,court_recorded,date_basis,defaulted,draw_size,identity_basis,identity_tier,market_source_path,market_source_row,market_source_sha256,match_date,match_id,match_num,minutes,played,player_a,player_b,population_basis,ranking_metadata_basis,retired,round,score,season,source_correction,source_field_agreement,source_file_sha256,source_key,source_line_number,source_member,source_row_number,source_season,started_evidence,status,surface,tourney_anchor_date,tourney_id,tourney_level,tourney_name,walkover
11.792,1.025,true,12.136,1.055,true,37,25,14,10,3,27.0,0,0,1,200033,,L,176,,synthetic,SYN,58,244,,200033,P 33,l,63,false,false,,synthetic_event_anchor,37,30,20,10,3,14.7,3,2,2,200050,,R,170,,synthetic,SYN,4,7339,3,200050,P 50,w,64,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,2,,2011-01-03,2011-301/1,1,78,true,200033,200050,level_A,synthetic,false,R16,6-4 4-6 2-6,2011,,true,,2011-301/1,2,atp_matches_2011.csv,1,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.027,11.635,true,1.055,12.136,true,37,32,15,9,3,26.7,8,6,1,200007,,R,184,,synthetic,SYN,6,6361,4,200007,P 07,w,59,true,false,,synthetic_event_anchor,45,26,5,11,2,24.0,2,2,2,200028,Q,R,195,,synthetic,SYN,52,322,,200028,P 28,l,73,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,3,,2011-01-04,2011-301/2,2,124,true,200007,200028,level_A,synthetic,false,R16,0-6 4-6,2011,,true,,2011-301/2,3,atp_matches_2011.csv,2,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.074,7.753,true,1.072,10.272,true,25,22,6,6,5,22.2,5,3,1,200014,,L,196,,synthetic,SYN,1,9100,1,200014,P 14,w,38,true,false,,synthetic_event_anchor,40,26,7,9,9,20.8,5,3,0,200046,,R,202,,synthetic,SYN,37,760,,200046,P 46,l,56,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,4,,2011-01-03,2011-301/3,3,105,true,200014,200046,level_A,synthetic,false,R16,6-4 2-6 2-6,2011,,false,,2011-301/3,4,atp_matches_2011.csv,3,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.221,4.154,true,1.356,3.415,true,60,50,11,13,5,14.4,5,4,2,200008,,R,185,,synthetic,SYN,8,5515,6,200008,P 08,w,81,true,false,,synthetic_event_anchor,53,32,10,13,6,20.2,3,1,3,200018,,R,176,,synthetic,SYN,34,921,,200018,P 18,l,81,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,5,,2011-01-04,2011-301/4,4,73,true,200008,200018,level_A,synthetic,false,R16,3-6 4-6,2011,,true,,2011-301/4,5,atp_matches_2011.csv,4,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
2.807,1.421,true,3.199,1.394,true,53,35,21,15,10,28.7,1,1,0,200026,,R,192,,synthetic,SYN,24,1796,,200026,P 26,l,96,false,false,,synthetic_event_anchor,33,25,13,8,5,18.1,4,3,1,200040,,R,180,,synthetic,SYN,2,8470,2,200040,P 40,w,54,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,6,,2011-01-03,2011-301/5,5,88,true,200026,200040,level_A,synthetic,false,R16,6-3 1-6 6-0,2011,,true,,2011-301/5,6,atp_matches_2011.csv,5,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
2.354,1.574,true,2.457,1.605,true,59,43,7,12,4,20.0,7,3,2,200003,,R,203,,synthetic,SYN,22,2061,,200003,P 03,l,77,false,false,,synthetic_event_anchor,48,39,17,12,5,26.6,5,2,1,200019,,R,201,,synthetic,SYN,11,4456,8,200019,P 19,w,77,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,7,,2011-01-04,2011-301/6,6,92,true,200003,200019,level_A,synthetic,false,R16,6-0 6-1,2011,,true,,2011-301/6,7,atp_matches_2011.csv,6,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.680,2.152,true,,,false,51,42,16,11,8,17.7,8,3,1,200021,,L,205,,synthetic,SYN,5,6832,5,200021,P 21,w,72,true,false,,synthetic_event_anchor,54,34,13,11,4,27.3,1,0,0,200030,,R,203,,synthetic,SYN,7,5923,7,200030,P 30,l,72,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,8,,2011-01-03,2011-301/7,7,84,true,200021,200030,level_A,synthetic,false,R16,1-6 4-6,2011,,true,,2011-301/7,8,atp_matches_2011.csv,7,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.456,2.681,true,1.726,2.218,true,66,47,17,16,6,13.7,5,2,3,200010,,L,204,,synthetic,SYN,14,3604,,200010,P 10,l,100,false,false,,synthetic_event_anchor,45,30,27,14,5,26.9,7,4,5,200053,,R,203,,synthetic,SYN,16,3130,,200053,P 53,w,89,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,9,,2011-01-04,2011-301/8,8,108,true,200010,200053,level_A,synthetic,false,R16,6-1 4-6 6-3,2011,,true,,2011-301/8,9,atp_matches_2011.csv,8,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
2.322,1.589,true,2.237,1.715,true,27,22,10,6,3,26.7,1,1,2,200007,,R,184,,synthetic,SYN,6,6361,4,200007,P 07,l,41,false,false,,synthetic_event_anchor,50,39,21,14,7,14.7,4,3,2,200050,,R,170,,synthetic,SYN,4,7339,3,200050,P 50,w,87,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,10,,2011-01-05,2011-301/9,9,87,true,200007,200050,level_A,synthetic,false,QF,6-4 6-0,2011,,true,,2011-301/9,10,atp_matches_2011.csv,9,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
4.343,1.205,true,3.938,1.289,true,44,34,17,12,4,14.4,7,4,4,200008,,R,185,,synthetic,SYN,8,5515,6,200008,P 08,l,77,false,false,,synthetic_event_anchor,53,46,11,11,1,22.2,4,3,1,200014,Q,L,196,,synthetic,SYN,1,9100,1,200014,P 14,w,69,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,11,,2011-01-05,2011-301/10,10,101,true,200008,200014,level_A,synthetic,false,QF,6-2 6-2,2011,,true,,2011-301/10,11,atp_matches_2011.csv,10,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
