source_key,match_id,source_season,tourney_id,round,best_of,rule_group,rule_basis,match_rule
2011-301/1,2011-301/1,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/10,2011-301/10,2011,2011-301,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/11,2011-301/11,2011,2011-301,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/12,2011-301/12,2011,2011-301,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/13,2011-301/13,2011,2011-301,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/14,2011-301/14,2011,2011-301,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/15,2011-301/15,2011,2011-301,F,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/2,2011-301/2,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/3,2011-301/3,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/4,2011-301/4,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/5,2011-301/5,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/6,2011-301/6,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/7,2011-301/7,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/8,2011-301/8,2011,2011-301,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-301/9,2011-301/9,2011,2011-301,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/1,2011-302/1,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/10,2011-302/10,2011,2011-302,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/11,2011-302/11,2011,2011-302,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/12,2011-302/12,2011,2011-302,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/13,2011-302/13,2011,2011-302,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/14,2011-302/14,2011,2011-302,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/15,2011-302/15,2011,2011-302,F,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/2,2011-302/2,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/3,2011-302/3,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/4,2011-302/4,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/5,2011-302/5,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/6,2011-302/6,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/7,2011-302/7,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/8,2011-302/8,2011,2011-302,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-302/9,2011-302/9,2011,2011-302,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/1,2011-303/1,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/10,2011-303/10,2011,2011-303,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/11,2011-303/11,2011,2011-303,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/12,2011-303/12,2011,2011-303,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/13,2011-303/13,2011,2011-303,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/14,2011-303/14,2011,2011-303,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/15,2011-303/15,2011,2011-303,F,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/2,2011-303/2,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
