B365_decimal_a,B365_decimal_b,B365_valid,PS_decimal_a,PS_decimal_b,PS_valid,a_1stIn,a_1stWon,a_2ndWon,a_SvGms,a_ace,a_age_years,a_bpFaced,a_bpSaved,a_df,a_entity_id,a_entry,a_hand,a_height_cm,a_identity_correction,a_identity_metadata_status,a_ioc,a_rank,a_rank_points,a_seed,a_source_id,a_source_name,a_source_side,a_svpt,a_won,abandoned,additional_count_evidence,archive_date_basis,b_1stIn,b_1stWon,b_2ndWon,b_SvGms,b_ace,b_age_years,b_bpFaced,b_bpSaved,b_df,b_entity_id,b_entry,b_hand,b_height_cm,b_identity_correction,b_identity_metadata_status,b_ioc,b_rank,b_rank_points,b_seed,b_source_id,b_source_name,b_source_side,b_svpt,best_of,competition_type,completed,count_block_status,count_correction_applied,court_recorded,date_basis,defaulted,draw_size,identity_basis,identity_tier,market_source_path,market_source_row,market_source_sha256,match_date,match_id,match_num,minutes,played,player_a,player_b,population_basis,ranking_metadata_basis,retired,round,score,season,source_correction,source_field_agreement,source_file_sha256,source_key,source_line_number,source_member,source_row_number,source_season,started_evidence,status,surface,tourney_anchor_date,tourney_id,tourney_level,tourney_name,walkover
8.865,1.056,true,8.132,1.102,true,41,36,20,12,3,19.6,5,3,2,200015,,R,173,,synthetic,SYN,80,129,,200015,P 15,w,78,true,false,,synthetic_event_anchor,27,22,9,6,3,20.2,6,4,0,200018,,R,176,,synthetic,SYN,11,4456,4,200018,P 18,l,39,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,2,,2011-01-03,2011-301/1,1,91,true,200015,200018,level_A,synthetic,false,R16,6-0 2-6 6-3,2011,,true,,2011-301/1,2,atp_matches_2011.csv,1,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
10.835,1.033,true,11.994,1.056,true,53,42,20,14,7,27.0,9,6,0,200001,,R,177,,synthetic,SYN,85,120,,200001,P 01,w,91,true,false,,synthetic_event_anchor,14,13,9,5,2,28.7,4,1,1,200026,,R,192,,synthetic,SYN,23,1923,6,200026,P 26,l,30,3,individual_tour,false,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,3,,2011-01-04,2011-301/2,2,56,true,200001,200026,level_A,synthetic,true,R16,6-2 3-1 RET,2011,,true,,2011-301/2,3,atp_matches_2011.csv,2,2011,,retired,Hard,20110103,2011-301,A,Sample 301,false
9.358,1.049,true,8.157,1.102,true,48,34,7,11,6,18.1,5,3,1,200022,,L,194,,synthetic,SYN,66,180,,200022,P 22,w,68,true,false,,synthetic_event_anchor,42,37,15,11,2,20.8,4,1,1,200046,,R,202,,synthetic,SYN,13,3867,3,200046,P 46,l,73,3,individual_tour,false,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,4,,2011-01-03,2011-301/3,3,124,true,200022,200046,level_A,synthetic,true,R16,6-2 4-6 3-1 RET,2011,,true,,2011-301/3,4,atp_matches_2011.csv,3,2011,,retired,Hard,20110103,2011-301,A,Sample 301,false
1.025,11.792,true,1.055,12.136,true,55,41,15,13,8,23.4,5,3,3,200006,,R,193,,synthetic,SYN,5,6832,1,200006,P 06,w,81,true,false,,synthetic_event_anchor,59,33,14,16,7,22.2,5,3,3,200012,WC,R,183,,synthetic,SYN,87,118,,200012,P 12,l,103,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,5,,2011-01-04,2011-301/4,4,124,true,200006,200012,level_A,synthetic,false,R16,6-3 6-1,2011,,true,,2011-301/4,5,atp_matches_2011.csv,4,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.036,10.566,true,1.097,8.418,true,26,19,10,6,1,17.7,4,2,0,200021,,L,205,,synthetic,SYN,10,4784,2,200021,P 21,w,40,true,false,,synthetic_event_anchor,68,44,15,15,10,28.9,6,5,0,200036,,R,185,,synthetic,SYN,77,136,,200036,P 36,l,96,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,6,,2011-01-03,2011-301/5,5,118,true,200021,200036,level_A,synthetic,false,R16,6-1 6-1,2011,,false,,2011-301/5,6,atp_matches_2011.csv,5,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.502,2.536,true,1.425,3.047,true,51,37,19,13,3,14.4,4,2,1,200008,,R,185,,synthetic,SYN,24,1796,7,200008,P 08,w,84,true,false,,synthetic_event_anchor,35,22,11,10,4,20.9,2,1,2,200042,,R,195,,synthetic,SYN,64,193,,200042,P 42,l,61,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,7,,2011-01-04,2011-301/6,6,85,true,200008,200042,level_A,synthetic,false,R16,6-1 6-4,2011,,true,,2011-301/6,7,atp_matches_2011.csv,6,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.131,5.688,true,1.136,6.691,true,30,27,16,9,5,23.4,3,2,1,200024,,R,171,,synthetic,SYN,17,2918,5,200024,P 24,w,57,true,false,,synthetic_event_anchor,57,44,6,14,12,25.7,3,3,7,200038,Q,R,180,,synthetic,SYN,71,156,,200038,P 38,l,89,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,8,,2011-01-03,2011-301/7,7,100,true,200024,200038,level_A,synthetic,false,R16,1-6 3-6,2011,,true,,2011-301/7,8,atp_matches_2011.csv,7,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.815,1.964,true,1.672,2.315,true,32,24,13,8,4,16.3,6,4,0,200004,,R,,,synthetic,SYN,30,1197,8,200004,P 04,l,53,false,false,,synthetic_event_anchor,42,35,16,10,5,26.7,9,6,1,200007,,R,184,,synthetic,SYN,34,921,,200007,P 07,w,66,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,9,,2011-01-04,2011-301/8,8,117,true,200004,200007,level_A,synthetic,false,R16,4-6 6-2 6-0,2011,,true,,2011-301/8,9,atp_matches_2011.csv,8,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
3.399,1.306,true,3.179,1.398,true,26,14,11,7,2,27.0,5,4,0,200001,,R,177,,synthetic,SYN,85,120,,200001,P 01,w,46,true,false,,synthetic_event_anchor,47,33,20,14,4,19.6,5,5,2,200015,,R,173,,synthetic,SYN,80,129,,200015,P 15,l,89,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,10,,2011-01-05,2011-301/9,9,79,true,200001,200015,level_A,synthetic,false,QF,6-3 6-1,2011,,true,,2011-301/9,10,atp_matches_2011.csv,9,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.025,11.792,true,1.055,12.136,true,32,24,14,10,0,23.4,7,3,1,200006,,R,193,,synthetic,SYN,5,6832,1,200006,P 06,w,61,true,false,,synthetic_event_anchor,30,22,7,9,3,18.1,8,3,2,200022,,L,194,,synthetic,SYN,66,180,,200022,P 22,l,56,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,11,,2011-01-05,2011-301/10,10,112,true,200006,200022,level_A,synthetic,false,QF,6-1 4-6 2-6,2011,,true,,2011-301/10,11,atp_matches_2011.csv,10,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
5.499,1.139,true,,,false,55,39,21,15,6,14.4,7,3,3,200008,,R,185,,synthetic,SYN,24,1796,7,200008,P 08,l,97,false,false,,synthetic_event_anchor,46,38,15,11,3,17.7,6,3,0,200021,,L,205,,synthetic,SYN,10,4784,2,200021,P 21,w,72,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,12,,2011-01-05,2011-301/11,11,113,true,200008,200021,level_A,synthetic,false,QF,6-1 4-6 6-0,2011,,true,,2011-301/11,12,atp_matches_2011.csv,11,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
3.481,1.294,true,3.531,1.339,true,52,40,10,12,8,26.7,5,4,2,200007,,R,184,,synthetic,SYN,34,921,,200007,P 07,l,78,false,false,,synthetic_event_anchor,35,31,10,8,2,23.4,6,4,1,200024,,R,171,,synthetic,SYN,17,2918,5,200024,P 24,w,54,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,13,,2011-01-05,2011-301/12,12,79,true,200007,200024,level_A,synthetic,false,QF,6-2 6-4,2011,,true,,2011-301/12,13,atp_matches_2011.csv,12,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
11.792,1.025,true,12.136,1.055,true,27,18,7,7,2,27.0,4,3,1,200001,,R,177,,synthetic,SYN,85,120,,200001,P 01,l,45,false,false,,synthetic_event_anchor,33,30,17,9,2,23.4,10,6,1,200006,,R,193,,synthetic,SYN,5,6832,1,200006,P 06,w,58,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,14,,2011-01-06,2011-301/13,13,113,true,200001,200006,level_A,synthetic,false,SF,2-6 3-6,2011,,true,,2011-301/13,14,atp_matches_2011.csv,13,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
