candidate_family,selection_year,selected_candidate_id,selection_start,selection_cutoff,selection_reason
dynamic,2011,q050_g040_moderate,2008-01-01,2010-12-30,synthetic_fixed_candidate
dynamic,2012,q050_g040_moderate,2009-01-01,2011-12-30,synthetic_fixed_candidate
dynamic,2013,q050_g040_moderate,2010-01-01,2012-12-30,synthetic_fixed_candidate
dynamic,2014,q050_g040_moderate,2011-01-01,2013-12-30,synthetic_fixed_candidate
dynamic,2015,q050_g040_moderate,2012-01-01,2014-12-30,synthetic_fixed_candidate
dynamic,2016,q050_g040_moderate,2013-01-01,2015-12-30,synthetic_fixed_candidate
dynamic,2017,q050_g040_moderate,2014-01-01,2016-12-30,synthetic_fixed_candidate
dynamic,2018,q050_g040_moderate,2015-01-01,2017-12-30,synthetic_fixed_candidate
dynamic,2019,q050_g040_moderate,2016-01-01,2018-12-30,synthetic_fixed_candidate
dynamic,2020,q050_g040_moderate,2017-01-01,2019-12-30,synthetic_fixed_candidate
control,2011,h180_o250_s250,2008-01-01,2010-12-30,synthetic_fixed_candidate
control,2012,h180_o250_s250,2009-01-01,2011-12-30,synthetic_fixed_candidate
control,2013,h180_o250_s250,2010-01-01,2012-12-30,synthetic_fixed_candidate
control,2014,h180_o250_s250,2011-01-01,2013-12-30,synthetic_fixed_candidate
control,2015,h180_o250_s250,2012-01-01,2014-12-30,synthetic_fixed_candidate
control,2016,h180_o250_s250,2013-01-01,2015-12-30,synthetic_fixed_candidate
control,2017,h180_o250_s250,2014-01-01,2016-12-30,synthetic_fixed_candidate
control,2018,h180_o250_s250,2015-01-01,2017-12-30,synthetic_fixed_candidate
control,2019,h180_o250_s250,2016-01-01,2018-12-30,synthetic_fixed_candidate
control,2020,h180_o250_s250,2017-01-01,2019-12-30,synthetic_fixed_candidate
