tour,period,year,model,n,correct,ties,accuracy
ATP,year,2017,elo,2311,1537,0,0.6650800519255733
ATP,year,2017,atp_p0,2311,1548,0,0.6698398961488533
ATP,year,2017,atp_p1,2311,1558,0,0.674167027260926
ATP,year,2017,atp_full_tier,2311,1543,0,0.667676330592817
ATP,year,2017,pinnacle_normalised,2311,1562,21,0.6804413673734314
ATP,year,2018,elo,2587,1666,0,0.6439891766524932
ATP,year,2018,atp_p0,2587,1675,0,0.6474681097796676
ATP,year,2018,atp_p1,2587,1687,0,0.6521066872825667
ATP,year,2018,atp_full_tier,2587,1708,0,0.6602241979126401
ATP,year,2018,pinnacle_normalised,2587,1758,8,0.6810977966756862
ATP,year,2019,elo,2491,1592,2,0.639502207948615
ATP,year,2019,atp_p0,2491,1613,0,0.6475311120032116
ATP,year,2019,atp_p1,2491,1649,0,0.6619831393014853
ATP,year,2019,atp_full_tier,2491,1645,0,0.660377358490566
ATP,year,2019,pinnacle_normalised,2491,1669,13,0.6726214371738257
ATP,year,2020,elo,1241,796,0,0.6414182111200645
ATP,year,2020,atp_p0,1241,818,0,0.6591458501208702
ATP,year,2020,atp_p1,1241,836,0,0.6736502820306205
ATP,year,2020,atp_full_tier,1241,835,0,0.6728444802578566
ATP,year,2020,pinnacle_normalised,1241,860,4,0.6946011281224819
ATP,year,2021,elo,2384,1503,3,0.6310822147651006
ATP,year,2021,atp_p0,2384,1532,2,0.6430369127516778
ATP,year,2021,atp_p1,2384,1556,0,0.6526845637583892
ATP,year,2021,atp_full_tier,2384,1597,0,0.6698825503355704
ATP,year,2021,pinnacle_normalised,2384,1621,11,0.6822567114093959
ATP,year,2022,elo,2525,1636,1,0.6481188118811881
ATP,year,2022,atp_p0,2525,1660,0,0.6574257425742575
ATP,year,2022,atp_p1,2525,1689,0,0.668910891089109
ATP,year,2022,atp_full_tier,2525,1694,0,0.6708910891089109
ATP,year,2022,pinnacle_normalised,2525,1710,6,0.6784158415841585
ATP,year,2023,elo,2672,1730,1,0.6476422155688623
ATP,year,2023,atp_p0,2672,1752,1,0.655875748502994
ATP,year,2023,atp_p1,2672,1779,0,0.6657934131736527
ATP,year,2023,atp_full_tier,2672,1771,0,0.6627994011976048
ATP,year,2023,pinnacle_normalised,2672,1803,7,0.6760853293413174
ATP,year,2024,elo,2671,1725,1,0.6460127293148633
ATP,year,2024,atp_p0,2671,1749,0,0.6548109322351179
ATP,year,2024,atp_p1,2671,1750,0,0.6551853238487458
ATP,year,2024,atp_full_tier,2671,1766,0,0.6611755896667915
ATP,year,2024,pinnacle_normalised,2671,1820,19,0.6849494571321603
ATP,overall,,elo,18882,12185,8,0.6455354305687957
ATP,overall,,atp_p0,18882,12347,3,0.6539826289587968
ATP,overall,,atp_p1,18882,12504,0,0.6622179853829043
ATP,overall,,atp_full_tier,18882,12559,0,0.6651308124139392
ATP,overall,,pinnacle_normalised,18882,12803,89,0.6804099142040038
WTA,year,2025,elo,2243,1442,1,0.6431119037004013
WTA,year,2025,wta_base,2243,1445,0,0.6442264823896567
WTA,year,2025,wta_full,2243,1477,0,0.6584930896121266
WTA,year,2025,pinnacle_normalised,2243,1520,5,0.678778421756576
WTA,year,2026,elo,101,72,0,0.7128712871287128
WTA,year,2026,wta_base,101,70,0,0.693069306930693
WTA,year,2026,wta_full,101,73,0,0.7227722772277227
WTA,year,2026,pinnacle_normalised,101,74,1,0.7376237623762376
WTA,overall,,elo,2344,1514,1,0.6461177474402731
WTA,overall,,wta_base,2344,1515,0,0.6463310580204779
WTA,overall,,wta_full,2344,1550,0,0.6612627986348123
WTA,overall,,pinnacle_normalised,2344,1594,6,0.6813139931740614
